# wavelength_angstroms eazyspectemp00 eazyspectemp01 eazyspectemp02 eazyspectemp03 eazyspectemp04 eazyspectemp05 eazyspectemp06 eazyspectemp07 eazyspectemp08 eazyspectemp09 eazyspectemp10 eazyspectemp11 eazyspectemp12
726.0 1.166241e-05 4.938231e-07 7.356358e-07 6.370199e-07 2.064315e-08 5.374908e-07 3.2755e-06 4.774939e-09 7.195912e-07 1.074535e-06 2.574902e-09 2.12355e-09 1.134518e-10
735.0 1.245021e-05 5.734055e-07 7.655995e-07 6.243126e-07 2.117959e-08 5.268729e-07 3.158699e-06 4.716349e-09 6.92312e-07 1.068091e-06 2.517925e-09 2.149458e-09 1.196321e-10
745.0 1.157135e-05 4.549529e-07 7.226869e-07 5.994062e-07 1.847574e-08 5.003697e-07 3.034817e-06 4.488015e-09 6.574445e-07 1.000929e-06 2.399621e-09 2.148668e-09 1.233105e-10
755.0 1.393976e-05 7.283822e-07 8.26645e-07 5.997139e-07 2.233403e-08 5.118397e-07 3.013649e-06 4.66155e-09 6.475562e-07 1.038045e-06 2.445059e-09 2.301079e-09 1.389888e-10
765.0 1.648635e-05 1.04991e-06 9.172128e-07 5.504441e-07 2.308539e-08 4.245792e-07 2.150906e-06 4.015382e-09 4.7114e-07 8.270007e-07 1.951069e-09 1.91024e-09 1.193408e-10
775.0 1.532584e-05 8.794854e-07 8.883289e-07 5.636014e-07 2.37356e-08 4.90442e-07 2.83314e-06 4.565653e-09 6.204869e-07 9.714085e-07 2.34759e-09 2.457901e-09 1.602551e-10
785.0 1.305112e-05 8.110634e-07 7.813588e-07 5.104169e-07 2.214858e-08 4.334521e-07 2.623253e-06 4.055641e-09 5.123931e-07 7.246349e-07 2.078811e-09 2.168705e-09 1.435057e-10
795.0 1.718285e-05 1.05315e-06 9.798231e-07 5.565338e-07 2.583494e-08 4.866388e-07 2.714926e-06 4.59502e-09 5.891614e-07 8.769165e-07 2.296702e-09 2.696587e-09 1.817484e-10
805.0 1.698251e-05 1.059916e-06 9.73519e-07 5.437691e-07 2.563182e-08 4.755404e-07 2.651098e-06 4.539742e-09 5.820269e-07 9.451949e-07 2.269667e-09 2.945978e-09 2.140449e-10
815.0 1.699953e-05 1.105919e-06 9.794013e-07 5.268985e-07 2.624371e-08 4.674344e-07 2.585366e-06 4.47693e-09 5.643184e-07 9.105928e-07 2.21919e-09 3.095974e-09 2.297999e-10
825.0 1.912426e-05 1.363913e-06 1.09248e-06 5.293141e-07 3.012211e-08 4.68315e-07 2.472833e-06 4.587657e-09 5.342591e-07 8.94915e-07 2.199084e-09 3.285178e-09 2.50683e-10
835.0 2.477988e-05 2.298209e-06 1.404574e-06 5.183151e-07 4.434339e-08 4.672032e-07 2.331593e-06 4.99297e-09 5.168759e-07 7.527511e-07 2.21206e-09 3.227572e-09 2.44057e-10
845.0 2.075701e-05 1.635142e-06 1.198973e-06 5.212033e-07 3.625124e-08 4.69147e-07 2.399726e-06 4.742749e-09 5.145899e-07 7.949865e-07 2.174044e-09 3.633029e-09 2.781309e-10
855.0 2.017402e-05 1.621615e-06 1.180298e-06 5.062548e-07 3.721087e-08 4.568487e-07 2.317286e-06 4.683257e-09 5.008634e-07 8.142152e-07 2.120507e-09 3.904522e-09 3.119502e-10
